"total","first_dist","last_dist","name_a","id_a","seasons_a","teams_a","name_b","id_b","seasons_b","teams_b","same_season","already_linked"
1,0,1,"YUVAL SZNAIDERMAN",1161,"2026","GALIL ELION","YUVAL SZNAJDERMAN",2537,"2025","KIRYAT ATA",FALSE,FALSE
2,0,2,"BEN AMAR",5820,"2025","HAPOEL HAIFA","BEN MAMAN",19431,"2025","HAPOEL GALIL ELION",TRUE,FALSE
2,0,2,"GUR LAVY",1016,"2026","MACCABI TEL AVIV","GUR LAVIE",3097,"2025","GILBOA/GALIL",FALSE,FALSE
2,0,2,"ITAY MOSHKOVITS",1099,"2026","NESS ZIONA","ITAY MOSHKOVICH",2655,"2025","ELITZUR NETANYA",FALSE,FALSE
3,1,2,"OR HEN",29048,"2025","HAPOEL GALIL ELION","ORI COHEN",29518,"2025","MACCABI TEL AVIV",TRUE,FALSE
4,2,2,"GIL BENI",956,"2025","GILBOA/GALIL","GILAD LEVI",2700,"2025","HAPOEL AFULA",TRUE,FALSE
4,2,2,"GIL BENI",1261,"2025,2026","HAPOEL TEL AVIV; MACCABI RAMAT GAN","GILAD LEVI",2700,"2025","HAPOEL AFULA",TRUE,FALSE
4,2,2,"GIL BENI",956,"2025","GILBOA/GALIL","NIR PERI",29771,"2025","HAPOEL JERUSALEM",TRUE,FALSE
4,2,2,"GIL BENI",1261,"2025,2026","HAPOEL TEL AVIV; MACCABI RAMAT GAN","NIR PERI",29771,"2025","HAPOEL JERUSALEM",TRUE,FALSE
4,2,2,"OREN SAHAR",1200,"2026","MACCABI TEL AVIV","BEN AMAR",5820,"2025","HAPOEL HAIFA",FALSE,FALSE
4,2,2,"OREN SAHAR",3662,"2025","MACCABI TEL AVIV","BEN AMAR",5820,"2025","HAPOEL HAIFA",TRUE,FALSE
4,2,2,"RAZ ADAM",1108,"2026","GALIL ELION","YAM MADAR",19448,"2025","HAPOEL TEL AVIV",FALSE,FALSE
4,2,2,"RAZ ADAM",3542,"2025","KIRYAT ATA","YAM MADAR",19448,"2025","HAPOEL TEL AVIV",TRUE,FALSE
4,2,2,"RON COHEN",1633,"2025","HAPOEL GALIL ELION","OR HEN",29048,"2025","HAPOEL GALIL ELION",TRUE,FALSE
4,2,2,"RON COHEN",2121,"2026","MACCABI RAANANA","OR HEN",29048,"2025","HAPOEL GALIL ELION",FALSE,FALSE
4,2,2,"SHON DALID",29545,"2025","MACCABI RAMAT GAN","JON DAVIS",32331,"2025","GILBOA/GALIL; HAPOEL HAIFA",TRUE,FALSE
4,2,2,"YAHAV SHITRIT",31239,"2025","KIRYAT ATA","YOAV SHIMRI",35495,"2025","BNEI HERZLIYA",TRUE,FALSE
4,2,2,"YAM MADAR",1039,"2026","HAPOEL TEL AVIV","RAZ ADAM",1108,"2026","GALIL ELION",TRUE,FALSE
4,2,2,"YAM MADAR",1039,"2026","HAPOEL TEL AVIV","RAZ ADAM",3542,"2025","KIRYAT ATA",FALSE,FALSE
